name,global_probability,total_count,kind,field_type,comments
_class,1.0,100000,field,String,
_id,1.0,100000,field,ObjectId,
aliases,1.0,100000,field,Array,
createdBy,0.76608,76608,field,String,
createdDate,0.76608,76608,field,Date,
customerId,1.0,100000,field,String,
enrollmentDate,0.99963,99963,field,Date,
inTierGracePeriod,1.0,100000,field,Bool,
lastModifiedBy,0.85645,85645,field,String,
lastModifiedDate,0.85645,85645,field,Date,
loyaltyId,1.0,100000,field,String,
loyaltyNumber,1.0,100000,field,String,
loyaltyProgramMigrationDetails,0.30787,30787,field,Object,
loyaltyProgramMigrationDetails.forced,0.30787,30787,field,Bool,
loyaltyProgramMigrationDetails.migratedBy,0.30782,30782,field,String,
loyaltyProgramMigrationDetails.migrationDate,0.30787,30787,field,Date,
loyaltyProgramMigrationDetails.migrationSource,0.30787,30787,field,String,
loyaltyProgramMigrationDetails.migrationStore,0.01318,1318,field,String,
loyaltyProgramMigrationDetails.previousProgramName,0.30787,30787,field,String,
loyaltyProgramMigrationDetails.programName,0.30787,30787,field,String,
loyaltyStatusInfo,1.0,100000,field,Object,
loyaltyStatusInfo.lastDeactivatedDTTM,0.35433,35433,field,Date,
loyaltyStatusInfo.lastStatusUpdateDTTM,0.99794,99794,field,Date,
loyaltyStatusInfo.loyaltyStatus,1.0,100000,field,String,
loyaltyStatusInfo.statusChangeReasonCode,1.0,100000,field,String,
onHold,0.99941,99941,field,Bool,
onHoldDate,1.6E-4,16,field,Date,
originalEnrollmentInfo,1.0,100000,field,Object,
originalEnrollmentInfo.city,0.03965,3965,field,String,
originalEnrollmentInfo.country,0.29547,29547,field,String,
originalEnrollmentInfo.dateOfBirth,0.48037,48037,field,Date,
originalEnrollmentInfo.email,0.99909,99909,field,String,
originalEnrollmentInfo.enrolledByUserId,0.71403,71403,field,String,
originalEnrollmentInfo.enrollmentDateTime,0.99437,99437,field,Date,
originalEnrollmentInfo.enrollmentFascia,0.74874,74874,field,String,
originalEnrollmentInfo.enrollmentSource,0.99257,99257,field,String,
originalEnrollmentInfo.firstName,0.99883,99883,field,String,
originalEnrollmentInfo.lastName,0.99899,99899,field,String,
originalEnrollmentInfo.marketingEmailSubscriptions,0.08441,8441,field,Array,
originalEnrollmentInfo.mobilePhone,0.34438,34438,field,Bool,
originalEnrollmentInfo.originalSourceCustomerId,0.26129,26129,field,String,
originalEnrollmentInfo.phone,0.04665,4665,field,String,
originalEnrollmentInfo.postalCode,0.05355,5355,field,String,
originalEnrollmentInfo.programName,0.7093,70930,field,String,
originalEnrollmentInfo.signupStore,0.98049,98049,field,String,
originalEnrollmentInfo.sourceIP,0.41356,41356,field,String,
originalEnrollmentInfo.sourceSystem,0.99636,99636,field,String,
originalEnrollmentInfo.stateProvince,0.03962,3962,field,String,
originalEnrollmentInfo.streetAddress,0.02879,2879,field,String,
originalEnrollmentInfo.streetAddress2,0.00686,686,field,String,
originalEnrollmentInfo.subscribedToMarketingEmails,0.8098,80980,field,Bool,
originalEnrollmentInfo.testAccount,0.99941,99941,field,Bool,
programId,1.0,100000,field,String,
rewardGenerationDetails,0.0043,430,field,Object,
rewardGenerationDetails.enabled,0.0043,430,field,Bool,
rewardGenerationDetails.selectedOption,0.0042899999999999995,429,field,Object,
rewardGenerationDetails.selectedOption.rewardAmount,0.0042899999999999995,429,field,Decimal128,
rewardGenerationDetails.selectedOption.threshold,0.0042899999999999995,429,field,Decimal128,
status,1.0,100000,field,String,
temporaryLoyaltyNumber,2.2E-4,22,field,String,
termsAgreed,1.0,100000,field,Bool,
termsVersion,0.99548,99548,field,String,
tierExpirationDate,0.01992,1992,field,Date,
tierId,0.73481,73481,field,String,
tierPromotionDate,0.01938,1938,field,Date,
